City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Verkhnetulomskiy,RU,68.6073,31.7962,62.73,80,96,4.47,overcast clouds
201,Arlit,NE,18.7369,7.3853,92.1,16,9,12.44,clear sky
202,Grand Gaube,MU,-20.0064,57.6608,74.37,68,1,7.0,clear sky
203,Tasiilaq,GL,65.6145,-37.6368,39.36,90,100,2.44,overcast clouds
204,Alabaster,US,33.2443,-86.8164,76.87,94,0,3.44,clear sky
205,Bengkulu,ID,-3.8004,102.2655,82.49,63,99,5.41,overcast clouds
206,Fukue,JP,32.6881,128.8419,82.76,69,20,5.75,few clouds
207,Nuevo Casas Grandes,MX,30.4167,-107.9167,66.74,74,85,15.99,overcast clouds
208,Sabang,ID,5.8933,95.3214,81.55,76,99,8.5,light rain
209,Guerrero Negro,MX,27.9769,-114.0611,68.2,84,53,7.65,broken clouds
210,Kazerun,IR,29.6195,51.6541,95.81,7,74,3.89,broken clouds
211,Sola,VU,-13.8833,167.55,80.74,75,2,10.29,clear sky
212,Geraldton,AU,-28.7667,114.6,66.61,39,21,2.3,few clouds
213,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,10.36,broken clouds
214,Katangi,IN,23.45,79.7833,79.86,70,97,5.35,light rain
215,Aberdeen,GB,57.1437,-2.0981,53.2,84,40,12.66,scattered clouds
216,Marabba,SD,12.35,32.1833,80.76,68,99,12.75,overcast clouds
217,Kasongo,CD,-4.45,26.6667,77.86,41,87,1.97,overcast clouds
218,Kokkola,FI,63.8385,23.1307,66.92,91,75,13.8,broken clouds
219,Codrington,AU,-38.2667,141.9667,52.7,63,75,21.65,broken clouds
220,Pangai,TO,-19.8,-174.35,77.11,69,20,12.66,few clouds
221,Aswan,EG,24.0934,32.907,92.53,15,11,8.39,few clouds
222,Sai Buri,TH,6.7013,101.6168,85.71,65,59,6.42,broken clouds
223,Busko-Zdroj,PL,50.4708,20.7188,68.77,43,100,6.49,overcast clouds
224,Qarchi Gak,AF,37.04,66.7889,108.52,8,0,18.5,clear sky
225,Vizianagaram,IN,18.1167,83.4167,83.71,60,98,7.65,light rain
226,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.73,99,70,2.28,broken clouds
227,Ixtapa,MX,20.7,-105.2,83.43,74,40,0.0,scattered clouds
228,Half Moon Bay,US,37.4636,-122.4286,63.41,87,100,9.22,overcast clouds
229,Usak,TR,38.5,29.4167,69.78,32,0,9.24,clear sky
230,Axim,GH,4.8699,-2.2405,74.25,84,82,4.03,broken clouds
231,Nome,US,64.5011,-165.4064,48.27,87,100,26.46,overcast clouds
232,Nador,MA,35.174,-2.9287,91.65,21,0,5.75,clear sky
233,Kutum,SD,14.2,24.6667,79.84,50,74,13.58,broken clouds
234,Troitsko-Pechorsk,RU,62.7084,56.1964,61.81,42,27,7.18,scattered clouds
235,Nouakchott,MR,18.0858,-15.9785,78.73,83,97,9.78,overcast clouds
236,Shingu,JP,33.7333,135.9833,84.2,82,100,4.29,overcast clouds
237,Tadine,NC,-21.55,167.8833,70.41,71,53,12.19,broken clouds
238,Marawi,PH,7.9986,124.2928,77.68,85,100,2.13,overcast clouds
239,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,94,100,4.61,fog
240,Huarmey,PE,-10.0681,-78.1522,62.53,86,100,8.43,overcast clouds
241,Upernavik,GL,72.7868,-56.1549,36.95,90,62,9.26,broken clouds
242,Saint Anthony,US,45.0205,-93.218,68.67,82,0,4.61,clear sky
243,Ithaki,GR,38.3642,20.7185,73.11,66,0,9.06,clear sky
244,Cabo San Lucas,MX,22.8909,-109.9124,85.3,70,7,7.0,clear sky
245,Norman Wells,CA,65.282,-126.8329,73.44,38,75,9.22,broken clouds
246,Harrismith,ZA,-28.2728,29.1295,39.4,34,0,6.71,clear sky
247,Sindor,RU,62.8629,51.8905,61.83,42,4,5.48,clear sky
248,Lulea,SE,65.5842,22.1547,62.67,100,100,12.66,overcast clouds
249,Srednekolymsk,RU,67.45,153.6833,66.25,30,67,14.85,broken clouds
250,Jaguey Grande,CU,22.5269,-81.1286,75.87,91,65,7.07,broken clouds
251,Georgetown,MY,5.4112,100.3354,89.53,70,20,5.99,few clouds
252,San Lorenzo De El Escorial,ES,40.5914,-4.1474,69.26,54,0,3.78,clear sky
253,Vanimo,PG,-2.6741,141.3028,84.11,73,54,9.64,broken clouds
254,Komsomolskiy,UZ,40.4272,71.7189,95.72,20,0,6.91,clear sky
255,Mogadishu,SO,2.0371,45.3438,78.67,78,40,18.41,scattered clouds
256,Merauke,ID,-8.4667,140.3333,79.81,76,100,19.08,overcast clouds
257,Constitucion,CL,-35.3333,-72.4167,52.84,94,100,17.2,overcast clouds
258,Wencheng,CN,33.0559,113.7978,89.65,63,67,2.39,broken clouds
259,Kalasin,TH,16.5,103.5,92.8,99,37,1.72,scattered clouds
260,Kesinga,IN,20.2,83.2333,87.85,65,100,1.19,overcast clouds
261,Teluk Nibung,ID,3.001,99.8164,87.96,61,93,6.89,overcast clouds
262,Paamiut,GL,61.994,-49.6678,43.0,91,100,4.07,overcast clouds
263,Baraki Barak,AF,33.9675,68.9486,80.89,46,22,2.86,few clouds
264,Gorontalo,ID,0.5412,123.0595,86.81,66,64,8.9,broken clouds
265,Siilinjarvi,FI,63.0833,27.6667,64.42,82,100,9.22,overcast clouds
266,Chemax,MX,20.65,-87.9333,74.05,96,50,2.75,scattered clouds
267,Finnsnes,NO,69.2296,17.9811,56.01,76,98,4.56,overcast clouds
268,Dejen,ET,10.1667,38.1333,57.72,82,100,4.79,overcast clouds
269,Taber,CA,49.8167,-112.1518,63.45,88,97,4.61,overcast clouds
270,Aguimes,ES,27.9054,-15.4461,77.63,57,0,17.27,clear sky
271,Kohlu,PK,29.8962,69.252,83.07,57,57,7.74,light rain
272,San Quintin,MX,30.4833,-115.95,66.88,86,13,9.13,few clouds
273,Murray Bridge,AU,-35.1167,139.2667,59.13,55,17,14.45,few clouds
274,Saint George,US,37.1041,-113.5841,72.25,85,0,3.44,clear sky
275,Berlevag,NO,70.8578,29.0864,60.6,88,75,9.22,broken clouds
276,Sabha,LY,27.0377,14.4283,78.73,36,0,12.28,clear sky
277,Richards Bay,ZA,-28.783,32.0377,57.74,71,1,4.79,clear sky
278,Casma,CL,-41.0082,-73.1244,43.88,97,76,2.86,light rain
279,Cayenne,GF,4.9333,-52.3333,78.1,1,0,1.14,clear sky
280,Umm Kaddadah,SD,13.6017,26.6876,85.1,50,95,14.83,overcast clouds
281,Luau,AO,-10.7073,22.2247,59.79,42,2,5.99,clear sky
282,Leningradskiy,RU,69.3833,178.4167,34.5,91,100,11.54,overcast clouds
283,Gimbi,ET,9.1667,35.8333,60.4,90,100,1.9,light rain
284,Pathein,MM,16.7833,94.7333,91.69,55,97,2.19,overcast clouds
285,Mehamn,NO,71.0357,27.8492,58.95,82,40,0.0,scattered clouds
286,Luderitz,NA,-26.6481,15.1594,53.65,89,61,17.9,broken clouds
287,Mount Gambier,AU,-37.8333,140.7667,53.73,67,14,11.34,few clouds
288,Aklavik,CA,68.2191,-135.0107,66.4,56,100,8.23,overcast clouds
289,Wittmund,DE,53.5667,7.7833,60.85,90,75,6.91,light intensity drizzle
290,Road Town,VG,18.4167,-64.6167,80.69,77,84,22.26,broken clouds
291,Hobart,AU,-42.8794,147.3294,60.66,69,75,5.75,broken clouds
292,Kloulklubed,PW,7.0419,134.2556,81.1,70,55,4.5,broken clouds
293,Myitkyina,MM,25.3833,97.4,94.53,50,41,1.83,scattered clouds
294,Salinopolis,BR,-0.6136,-47.3561,77.63,87,100,7.63,overcast clouds
295,Pisco,PE,-13.7,-76.2167,59.05,88,75,4.61,mist
296,Reconquista,AR,-29.15,-59.65,70.12,70,12,11.5,few clouds
297,Mokhsogollokh,RU,61.4681,128.9203,83.98,33,6,8.05,clear sky
298,Santa Maria,BR,-29.6842,-53.8069,62.22,97,5,4.52,clear sky
299,Hambantota,LK,6.1241,81.1185,88.14,70,20,1.14,few clouds
300,Portland,US,45.5234,-122.6762,82.98,51,0,5.75,clear sky
301,Okhotsk,RU,59.3833,143.3,63.68,73,28,9.08,scattered clouds
302,Atasu,KZ,48.6814,71.6433,87.73,16,87,6.82,overcast clouds
303,Provideniya,RU,64.3833,-173.3,48.36,66,75,18.01,broken clouds
304,Abhar,IR,36.1468,49.218,69.84,56,25,7.05,scattered clouds
305,Poya,NC,-21.35,165.15,72.1,74,28,9.69,scattered clouds
306,Port Augusta,AU,-32.5,137.7667,60.3,45,1,13.0,clear sky
307,Sisimiut,GL,66.9395,-53.6735,41.27,94,100,8.03,overcast clouds
308,Havelock,US,34.8791,-76.9013,82.35,90,0,9.22,clear sky
309,Tres Arroyos,AR,-38.3739,-60.2798,55.71,98,100,4.29,overcast clouds
